	Word	PoS	FrSp		LL	FrWr
	control	NoC	83	-	1520.1	256
	keep	Verb	449	+	1068.0	256
	million	NoC	157	-	417.0	256
	'd	VMod	1194	+	15417.8	256
	society	NoC	89	-	1379.3	256
	am	Verb	264	+	3.1	255
	known	Verb	93	-	1313.8	255
	until	Conj	137	-	619.5	254
	for   example	Adv	107	-	1037.0	254
	major	Adj	104	-	1082.3	254
	door	NoC	255	+	0.1	253
	months	NoC	211	-	68.0	252
	itself	Pron	105	-	1052.8	252
	among	Prep	26	-	3242.3	252
	including	Prep	45	-	2487.9	252
	upon	Prep	80	-	1521.1	252
	England	NoP	56	-	2135.2	252
	report	NoC	215	-	50.3	251
	father	NoC	142	-	524.6	251
	person	NoC	244	-	1.5	250
	A / a	Lett	405	+	737.6	250
	themselves	Pron	124	-	732.9	250
	around	Prep	137	-	572.9	249
	words	NoC	205	-	76.0	249
	anything	Pron	633	+	3716.7	248
	level	NoC	164	-	301.1	247
	book	NoC	220	-	27.4	246
	looking	Verb	428	+	1009.7	245
	after	Conj	126	-	665.0	245
	enough	Adv	241	-	0.5	244
	effect	NoC	87	-	1282.0	244
	name	NoC	299	+	104.6	244
	areas	NoC	142	-	474.2	244
	became	Verb	45	-	2381.7	244
	likely	Adj	91	-	1197.8	243
	feel	Verb	364	+	476.2	243
	community	NoC	125	-	658.5	243
	woman	NoC	138	-	504.1	243
	international	Adj	38	-	2595.2	242
	work	Verb	415	+	924.2	242
	centre	NoC	133	-	552.3	242
	therefore	Adv	152	-	356.2	241
	city	NoC	143	-	439.9	241
	so	Conj	400	+	793.9	241
	question	NoC	310	+	172.3	240
	position	NoC	130	-	568.9	240
	gave	Verb	148	-	381.5	239
	provide	Verb	88	-	1205.1	239
	six	Num	863	+	8443.7	239
	real	Adj	132	-	530.3	238
	let	Verb	390	+	753.5	237
	clear	Adj	140	-	443.6	237
	probably	Adv	585	+	3222.7	237
	staff	NoC	138	-	456.3	237
	action	NoC	88	-	1170.0	236
	today	Adv	503	+	2058.0	236
	black	Adj	147	-	351.5	234
	further*	Adj	63	-	1698.4	234
	act	NoC	56	-	1876.8	234
	special	Adj	125	-	559.4	231
	yes	Int	3840	+	107268.2	231
	process	NoC	78	-	1317.3	231
	management	NoC	101	-	878.7	231
	no	Int	4388	+	128715.5	230
	evidence	NoC	82	-	1218.2	230
	only	Adj	244	+	8.6	229
	particularly	Adv	153	-	258.1	228
	thus	Adv	8	-	3757.9	228
	age	NoC	124	-	528.4	226
	certain	Adj	169	-	147.9	226
	open	Adj	155	-	234.3	226
	line	NoC	181	-	92.2	226
	wanted	Verb	314	+	287.9	225
	particular	Adj	209	-	10.9	225
	4	Num	3	-	4049.5	224
	difficult	Adj	202	-	17.4	222
	death	NoC	57	-	1685.2	222
	either	Adv	198	-	26.4	222
	across	Prep	173	-	108.6	222
	big	Adj	549	+	3054.5	221
	read	Verb	260	+	60.5	221
	third	Num	132	-	391.0	220
	view	NoC	169	-	115.9	219
	kind	NoC	270	+	101.2	219
	sense	NoC	159	-	168.4	219
	mind	NoC	164	-	143.0	219
	around	Adv	196	-	20.3	217
	taking	Verb	224	+	1.9	217
	whose	DetP	43	-	2013.3	216
	century	NoC	42	-	2022.1	215
	seems	Verb	186	-	38.3	215
	white	Adj	131	-	354.2	214
	moment	NoC	285	+	196.6	214
	church	NoC	107	-	615.8	214
	rather	Adv	209	-	0.6	213
	idea	NoC	253	+	66.2	213
	industry	NoC	77	-	1087.6	212
	whole	Adj	248	+	52.6	212
	sure	Adj	479	+	2211.1	212
	support	NoC	104	-	636.4	212
	change	NoC	110	-	556.3	212
	behind	Prep	121	-	429.6	211
	range	NoC	59	-	1471.7	211
	job	NoC	382	+	1016.4	211
	brought	Verb	143	-	230.8	211
	ca~	VMod	1248	+	19835.7	210
	European	Adj	69	-	1218.3	210
	care	NoC	95	-	741.6	209
	study	NoC	38	-	2046.9	209
	free	Adj	113	-	489.9	208
	table	NoC	148	-	176.8	208
	order	NoC	111	-	506.7	207
	history	NoC	70	-	1176.2	207
	10	Num	2	-	3823.9	207
	central	Adj	71	-	1148.2	207
	believe	Verb	257	+	105.7	207
	groups	NoC	85	-	871.9	206
